date	lat	lng	kind
2010/08/05	42.63920000	8.93450000	Jellyfish
2010/08/05	37.86821000	-122.43636000	Jellyfish
2010/08/07	34.68178000	137.16705000	Jellyfish
2010/08/07	43.35714000	-4.11987000	Man o war
2010/08/07	36.09946000	-75.70850000	Jellyfish
2010/08/08	34.67839000	-76.90773000	Other
2010/08/08	36.61793900	-121.87288000	Jellyfish
2010/08/08	53.98728500	-6.23955000	Jellyfish
2010/08/09	36.80547100	-121.78907000	Other
2010/08/09	49.33138700	-122.94053000	Jellyfish
2010/08/09	36.60936000	-121.89305000	Jellyfish
2010/08/09	28.75619300	-88.36626000	Jellyfish
2010/08/09	56.03954000	-2.84168000	Jellyfish
2010/08/10	45.70007000	-1.23785000	Jellyfish
2010/08/10	32.65629000	-117.15700000	Jellyfish
2010/08/10	55.59409000	-1.67147000	Jellyfish
2010/08/11	36.81065900	-121.78276000	Jellyfish
2010/08/11	37.44190000	-122.14190000	Jellyfish
2010/08/12	37.61559100	-0.70587000	Jellyfish
2010/08/12	32.80574500	-117.24609000	Jellyfish
2010/08/12	49.31605200	-122.94125000	Jellyfish
2010/08/12	34.41165400	-119.90633000	Jellyfish
2010/08/12	33.73000000	-118.38702000	Jellyfish
2010/08/13	36.59981900	-121.88473000	Jellyfish
2010/08/13	36.71136600	-121.80885000	Jellyfish
2010/08/13	45.00139000	-1.20151000	Other
2010/08/13	43.32074000	-1.98442000	Man o war
2010/08/14	36.80818500	-121.78619000	Jellyfish
2010/08/14	42.26297000	3.17481000	Jellyfish
2010/08/15	36.61754300	-121.94266000	Jellyfish
2010/08/15	37.44190000	-122.14190000	Jellyfish
2010/08/15	37.86854000	-122.44581000	Vertebrate
2010/08/16	33.20350400	-117.39252000	Jellyfish
2010/08/16	43.32074000	-1.98442000	Man o war
2010/08/16	51.82516900	-9.82933000	Jellyfish
2010/08/17	41.25257000	1.90057000	Jellyfish
2010/08/17	43.32074000	-1.98442000	Man o war
2010/08/18	37.48180600	-122.49756000	Vertebrate
2010/08/18	37.49290700	-122.49610000	Vertebrate
2010/08/18	37.90530000	-0.74252000	Jellyfish
2010/08/19	43.56584000	7.07623000	Jellyfish
2010/08/19	36.60771000	-121.89056000	Jellyfish
2010/08/19	34.40818400	-119.88041000	Jellyfish
2010/08/20	36.60024000	-121.89468000	Jellyfish
2010/08/20	41.44710000	2.25254000	Jellyfish
2010/08/20	36.07130200	-75.68756000	Jellyfish
2010/08/20	49.39422000	-126.46558000	Jellyfish
2010/08/21	36.80151000	-121.78780000	Vertebrate
2010/08/21	36.80151000	-121.78780000	Vertebrate
2010/08/21	36.80151000	-121.78780000	Jellyfish
2010/08/21	36.80151000	-121.78780000	Clean sea
2010/08/21	39.21337000	-121.08908000	Jellyfish
2010/08/21	28.73330000	-88.35000000	Jellyfish
2010/08/22	36.60464000	-121.88833000	Jellyfish
2010/08/23	38.90987000	1.43595000	Jellyfish
2010/08/23	38.84043000	0.10858000	Other
2010/08/23	10.98532500	-64.13306000	Jellyfish
2010/08/24	37.48248700	-122.49619000	Vertebrate
2010/08/24	36.60326000	-121.89091000	Jellyfish
2010/08/24	41.34125000	-71.97453000	Jellyfish
2010/08/25	36.60495200	-121.89039000	Jellyfish
2010/08/25	43.18541000	6.58432000	Jellyfish
2010/08/25	43.17404000	5.61000000	Jellyfish
2010/08/25	40.81160000	0.71136000	Jellyfish
2010/08/25	42.26297000	3.17481000	Jellyfish
2010/08/25	36.64225300	-121.88662000	Jellyfish
2010/08/25	36.60423000	-121.89125000	Jellyfish
2010/08/25	49.31687000	-122.94238000	Jellyfish
2010/08/26	37.90550000	-0.74248000	Jellyfish
2010/08/26	43.46096000	-3.80793000	Man o war
2010/08/27	37.90561000	-0.74269000	Jellyfish
2010/08/27	32.06630000	34.77500000	Clean sea
2010/08/28	40.54211000	14.23639000	Jellyfish
2010/08/28	37.92686800	12.30469000	Jellyfish
2010/08/28	36.80151000	-121.78780000	Vertebrate
2010/08/28	57.63364000	-151.96289000	Jellyfish
2010/08/29	43.18607900	6.58313000	Jellyfish
2010/08/29	36.05479000	-75.68121000	Jellyfish
2010/08/29	37.29591000	12.76611000	Jellyfish
2010/08/29	36.81382000	-121.75650000	Jellyfish
2010/08/30	40.54381000	14.23622000	Jellyfish
2010/08/30	37.06394000	13.72192000	Jellyfish
2010/08/31	33.67864000	-118.14697000	Jellyfish
2010/08/31	55.34222000	-131.64611000	Jellyfish
2010/09/01	43.18576300	6.58384000	Jellyfish
2010/09/01	6.29081400	99.72582000	Jellyfish
2010/09/01	36.60561000	-121.88473000	Jellyfish
2010/09/03	43.18559000	6.58394000	Jellyfish
2010/09/04	0.17200000	130.03521000	Jellyfish
2010/09/05	37.81602000	-122.36349000	Jellyfish
2010/09/05	38.06539200	-122.16797000	Vertebrate
2010/09/05	40.69729900	14.41406000	Jellyfish
2010/09/06	43.18550000	6.58394000	Jellyfish
2010/09/06	47.06609000	-122.91555000	Jellyfish
2010/09/09	40.03813000	4.20914000	Jellyfish
2010/09/10	32.76880000	-119.09180000	Jellyfish
2010/09/10	43.18642000	6.58309000	Jellyfish
2010/09/10	32.85046100	-117.26875000	Jellyfish
2010/09/11	37.48466600	-122.47318000	Jellyfish
2010/09/11	32.00022000	-80.84567000	Jellyfish
2010/09/12	36.81162000	-121.78122000	Jellyfish
2010/09/12	36.81107000	-121.78259000	Jellyfish
2010/09/12	36.81258000	-121.77624000	Jellyfish
2010/09/12	36.81231000	-121.77383000	Jellyfish
2010/09/12	43.21109000	5.45660000	Jellyfish
2010/09/12	32.00022000	-80.84567000	Jellyfish
2010/09/13	43.18552800	6.58407000	Jellyfish
2010/09/14	42.80673600	10.19669000	Jellyfish
2010/09/14	43.18577800	6.58356000	Jellyfish
2010/09/14	36.60894400	-121.89373000	Jellyfish
2010/09/14	36.60873300	-121.89303000	Jellyfish
2010/09/14	36.60926500	-121.89373000	Jellyfish
2010/09/15	36.82247800	-121.83975000	Jellyfish
2010/09/15	36.77409200	-121.91528000	Vertebrate
2010/09/15	43.18534800	6.58399000	Jellyfish
2010/09/17	38.63697000	15.07580000	Jellyfish
2010/09/17	32.00022000	-80.84567000	Jellyfish
2010/09/18	32.00022000	-80.84567000	Jellyfish
2010/09/20	32.00022000	-80.84567000	Jellyfish
2010/09/20	34.02762400	-118.94897000	Squid
2010/09/21	36.65139000	29.12306000	Other
2010/09/23	30.59063700	-81.44440000	Jellyfish
2010/09/23	40.06139000	-74.44508000	Jellyfish
2010/09/24	-41.26310000	173.28667000	Jellyfish
2010/09/24	32.00022000	-80.84567000	Jellyfish
2010/09/24	48.54592600	-123.01143000	Jellyfish
2010/09/25	27.25463000	-82.57324000	Jellyfish
2010/09/26	37.86930000	-122.48846000	Clean sea
2010/09/26	47.97509900	-122.35139000	Jellyfish
2010/09/26	37.87322700	-122.49344000	Vertebrate
2010/09/26	32.00022000	-80.84567000	Jellyfish
2010/09/26	32.00022000	-80.84567000	Jellyfish
2010/09/29	41.52922000	-70.67449000	Other
2010/09/29	36.78179200	-121.83083000	Jellyfish
2010/09/29	45.97406000	-124.02466000	Other
2010/09/29	-7.21024000	112.78530000	Box Jelly
2010/10/01	47.03787000	-122.90070000	Jellyfish
2010/10/01	32.86214000	-117.25639000	Jellyfish
2010/10/01	48.54457000	-123.01271000	Jellyfish
2010/10/02	43.21443000	5.33901000	Jellyfish
2010/10/02	21.39066600	-157.71389000	Other
2010/10/03	36.62269200	-121.97296000	Jellyfish
2010/10/03	36.62723800	-121.90447000	Jellyfish
2010/10/03	36.63646800	-121.96884000	Jellyfish
2010/10/03	48.54457000	-123.01271000	Jellyfish
2010/10/03	-33.58645000	151.32706000	Man o war
2010/10/03	32.00022000	-80.84567000	Jellyfish
2010/10/05	56.35441000	-2.80117000	Jellyfish
2010/10/05	-36.87838000	175.00465000	Jellyfish
2010/10/06	48.54457000	-123.01271000	Other
2010/10/06	21.38755000	-157.71183000	Man o war
2010/10/07	32.00022000	-80.84567000	Jellyfish
2010/10/08	56.35603000	-2.80409000	Jellyfish
2010/10/08	37.44190000	-122.14190000	Jellyfish
2010/10/08	47.13929300	-122.90405000	Jellyfish
2010/10/08	48.38817800	-124.60384000	Other
2010/10/09	37.73850600	-122.24036000	Other
2010/10/10	30.39405000	-9.60119000	Jellyfish
